AuthorID,Author,Date,Content,Attachments,Reactions
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:19 PM","C: Hmm.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:20 PM","A: 53 is like. The trauma part of Mother, right.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:20 PM","C: Mhm.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:21 PM","A: The thing is, I've looked through your memories, and luckily for you, it seems you do not have a split personality disorder. It was only just you.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:21 PM","C: yes...?","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:22 PM","A: *calmly flipping the coin* So what am I?","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:22 PM","C: *pauses*","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:22 PM","C: You are my hunger side.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:23 PM","A: Yeah, but I'm a little bit more than that. I'm not a carbon copy of you.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:25 PM","C: *looking confused*","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:25 PM","C: I... Do not know?","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:25 PM","A: Come on, Cal. You're a smart boy. You can figure it out.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:26 PM","C: If you already know, why are you asking me?","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:29 PM","A: I just want to confirm my theory.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:31 PM","C: *thinks, confused*","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:31 PM","C: I honestly do not understand what you mean.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:33 PM","A: *holds coin in between his fingers* Well, what I'm starting to think is. To put this simply, that I'm everything you're afraid of becoming.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:34 PM","C: *opens mouth, then closes it*","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:39 PM","A: Apathetic, violent, crazy. It makes perfect sense when you think about it.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:40 PM","A: The first time I remember existing, you were scared.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:41 PM","A: Well, other than being a general bundle of ""eat I'm hungry"" and survival instinct, I guess.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:41 PM","C: I... Did not intend to do that....","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:41 PM","A: *waves hand, smiling* It's fine.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:42 PM","C: You seem happy about it.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:43 PM","A: *his smile gets a little bigger* I mean, you get scared pretty often, in my experience. More opportunities for me.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:43 PM","C: *frowns*","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:43 PM","A: And besides, it means you don't hate me, not really. You're just afraid of me.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:44 PM","C: I would not say that. You still irritate me frequently.","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:44 PM","A: Heh. *returns to flipping coin*","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:44 PM","C: *thinking*","",""
"253371626496720897","Spring Bun •x•#9049","17-Jun-19 08:45 PM","---------------","",""
"253371626496720897","Spring Bun •x•#9049","29-Jul-19 11:19 PM","*Cal tackles Alaric, trying to regain control*","",""
"253371626496720897","Spring Bun •x•#9049","29-Jul-19 11:19 PM","*fighting ensues*","",""
"253371626496720897","Spring Bun •x•#9049","29-Jul-19 11:23 PM","(Poll: who wins?)","",""
"351849411124396035","agentfancypants#0438","29-Jul-19 11:24 PM","(ooh hm)
(well)
(uh)
(idk, really)","",""
"253371626496720897","Spring Bun •x•#9049","29-Jul-19 11:25 PM","(That’s ok xD)","",""
"253371626496720897","Spring Bun •x•#9049","29-Jul-19 11:25 PM","*Cal wins, tired*","",""
"253371626496720897","Spring Bun •x•#9049","29-Jul-19 11:26 PM","A: *big grump*","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 07:57 PM","A: aw, cm'on. You can help the blood slaves, free them from hurting. That's a good thing. You like doing good things right?","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 07:57 PM","C: *hadn’t thought about it that way* ...I ....guess so... *staring at his hands*","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 07:58 PM","A: Plus, it won’t actually be *you.* it’ll be *me.*","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 07:58 PM","A: *grins*","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 07:58 PM","C: ...","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 07:59 PM","A: Anddd 5- Mother might need us. What if she gets hurt because we didn’t come along?","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 07:59 PM","C: *winces*","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 08:00 PM","C: ...Okay.... Just... Don't kill anyone you do not have to. Or at all.","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 08:01 PM","A: *waving his hand* Of coouurse, of courseee. Only necessary deaths. *grinning*","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 08:01 PM","C: *uncertain grimace*","",""
"253371626496720897","Spring Bun •x•#9049","15-Aug-19 08:02 PM","( #agent-and-eòins-lovenest )","",""
